Run: /work/users/a/s/asameull/GE8/runs/ll_14b_g2_30275550
Generated: 2026-02-27T09:14:45
Chosen k column: k_llama70b
Cluster threshold: 0.85
Cluster kinds: reasoning
Strip numbers: True

=== Global ranking (score desc, acc desc, mae asc) ===
               method    n  coverage      acc  acc_within1  acc_within2          mae         rmse  score_inv1p_abs
  cluster_median_mode 2821  0.498058 0.455512     0.750798     0.838710 1.949069e+05 5.175950e+06         0.654624
    cluster_mode_mode 2821  0.498058 0.451967     0.747607     0.836583 2.436263e+05 5.786736e+06         0.651782
cluster_median_median 2821  0.498058 0.442751     0.739809     0.831620 2.192968e+05 5.012235e+06         0.645056
  cluster_mode_median 2821  0.498058 0.439915     0.738036     0.831620 1.949407e+05 4.842394e+06         0.643471
    cluster_mean_mode 2821  0.498058 0.427153     0.719248     0.814959 1.851507e+05 4.936886e+06         0.631025
  cluster_mean_median 2821  0.498058 0.420064     0.713222     0.809996 2.105454e+05 4.899162e+06         0.625435
  cluster_median_mean 2821  0.498058 0.384615     0.684155     0.785537 4.649876e+26 1.660855e+28         0.597974
    cluster_mode_mean 2821  0.498058 0.380362     0.684509     0.785892 4.649876e+26 1.660855e+28         0.595802
    cluster_mean_mean 2821  0.498058 0.366182     0.656859     0.763559 7.938188e+26 2.205238e+28         0.579565
    dedup_text_median 5646  0.996822 0.343960     0.596351     0.702798 2.188665e+05 5.291786e+06         0.546143
      dedup_text_mode 5646  0.996822 0.350514     0.586433     0.684555 1.630462e+05 4.636448e+06         0.541238
               median 5646  0.996822 0.329437     0.569784     0.670917 2.079377e+05 5.227630e+06         0.526519
                 mode 5646  0.996822 0.332802     0.555969     0.642225 1.630540e+05 4.636448e+06         0.516092
         dedup_k_mode 5646  0.996822 0.256642     0.516472     0.655685 2.566184e+05 5.832425e+06         0.481206
       dedup_k_median 5646  0.996822 0.238399     0.506908     0.657279 2.585137e+05 5.771345e+06         0.470650
      trimmed_mean_10 5646  0.996822 0.265498     0.491321     0.608572          inf          inf         0.470286
       winsor_mean_10 5646  0.996822 0.257350     0.480163     0.593695          inf          inf         0.462052
      dedup_text_mean 5646  0.996822 0.238045     0.467765     0.584485          inf          inf         0.443796
                 mean 5646  0.996822 0.232377     0.446865     0.555792          inf          inf         0.431337
         dedup_k_mean 5646  0.996822 0.181013     0.391428     0.514169          inf          inf         0.388407
