top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,base,0.1,cluster_mean_mean,0,0.0,,,,,,
40,base,0.1,cluster_mean_median,0,0.0,,,,,,
40,base,0.1,cluster_mean_mode,0,0.0,,,,,,
40,base,0.1,cluster_median_mean,0,0.0,,,,,,
40,base,0.1,cluster_median_median,0,0.0,,,,,,
40,base,0.1,cluster_median_mode,0,0.0,,,,,,
40,base,0.1,cluster_mode_mean,0,0.0,,,,,,
40,base,0.1,cluster_mode_median,0,0.0,,,,,,
40,base,0.1,cluster_mode_mode,0,0.0,,,,,,
40,base,0.1,dedup_k_mean,353,0.9971751412429378,0.12181303116147309,0.26912181303116145,0.3881019830028329,inf,inf,0.3129139604821317
40,base,0.1,dedup_k_median,353,0.9971751412429378,0.14447592067988668,0.3597733711048159,0.5042492917847026,72.97450424929178,1056.130547664941,0.3591671312517675
40,base,0.1,dedup_k_mode,353,0.9971751412429378,0.16147308781869688,0.3626062322946176,0.48725212464589235,74.53541076487252,1055.4265721933405,0.36636427656022436
40,base,0.1,dedup_text_mean,353,0.9971751412429378,0.13314447592067988,0.34277620396600567,0.43342776203966005,inf,inf,0.3424100245090963
40,base,0.1,dedup_text_median,353,0.9971751412429378,0.22096317280453256,0.39943342776203966,0.5212464589235127,71.42776203966005,1054.3463880286254,0.4081858999107002
40,base,0.1,dedup_text_mode,353,0.9971751412429378,0.21529745042492918,0.37110481586402266,0.4985835694050991,16.424929178470254,133.2362914090674,0.3964486739287343
40,base,0.1,mean,353,0.9971751412429378,0.11898016997167139,0.26912181303116145,0.36827195467422097,inf,inf,0.30487848846466525
40,base,0.1,median,353,0.9971751412429378,0.15864022662889518,0.31728045325779036,0.42776203966005666,73.20963172804532,1058.3168300409266,0.33842561547521793
40,base,0.1,mode,353,0.9971751412429378,0.16147308781869688,0.29178470254957506,0.3909348441926346,74.0056657223796,1058.3384888307285,0.3275897362536759
40,base,0.1,trimmed_mean_10,353,0.9971751412429378,0.12464589235127478,0.29745042492917845,0.3937677053824363,69.64872521246458,992.8278210006882,0.31583767777926114
40,base,0.1,winsor_mean_10,353,0.9971751412429378,0.11614730878186968,0.26912181303116145,0.38243626062322944,64.85269121813032,901.8950602574081,0.3052761860405146
40,base,0.4,cluster_mean_mean,0,0.0,,,,,,
40,base,0.4,cluster_mean_median,0,0.0,,,,,,
40,base,0.4,cluster_mean_mode,0,0.0,,,,,,
40,base,0.4,cluster_median_mean,0,0.0,,,,,,
40,base,0.4,cluster_median_median,0,0.0,,,,,,
40,base,0.4,cluster_median_mode,0,0.0,,,,,,
40,base,0.4,cluster_mode_mean,0,0.0,,,,,,
40,base,0.4,cluster_mode_median,0,0.0,,,,,,
40,base,0.4,cluster_mode_mode,0,0.0,,,,,,
40,base,0.4,dedup_k_mean,353,0.9971751412429378,0.0906515580736544,0.24929178470254956,0.38243626062322944,inf,inf,0.3034233084066188
40,base,0.4,dedup_k_median,353,0.9971751412429378,0.14730878186968838,0.39943342776203966,0.5779036827195467,349775.940509915,6570941.507824171,0.3941816735957879
40,base,0.4,dedup_k_mode,353,0.9971751412429378,0.17563739376770537,0.43342776203966005,0.6062322946175638,349746.30028328614,6570941.486564616,0.4184754316338931
40,base,0.4,dedup_text_mean,353,0.9971751412429378,0.09631728045325778,0.311614730878187,0.45609065155807366,inf,inf,0.3278660006888989
40,base,0.4,dedup_text_median,353,0.9971751412429378,0.21813031161473087,0.4730878186968839,0.6260623229461756,174934.10198300282,3285470.911779814,0.449510426175917
40,base,0.4,dedup_text_mode,353,0.9971751412429378,0.23796033994334279,0.45892351274787535,0.5949008498583569,70.70254957507082,1057.941986339007,0.4468765964900072
40,base,0.4,mean,353,0.9971751412429378,0.04815864022662889,0.19263456090651557,0.3059490084985836,inf,inf,0.25217247360371653
40,base,0.4,median,353,0.9971751412429378,0.1671388101983003,0.3371104815864023,0.48158640226628896,71.88668555240793,1057.570273718343,0.3646761995446377
40,base,0.4,mode,353,0.9971751412429378,0.1501416430594901,0.3031161473087819,0.37110481586402266,75.09348441926346,1058.4409615664981,0.3178394183201542
40,base,0.4,trimmed_mean_10,353,0.9971751412429378,0.07365439093484419,0.19830028328611898,0.34560906515580736,147939.07365439093,2778966.9283385994,0.27620642151584296
40,base,0.4,winsor_mean_10,353,0.9971751412429378,0.06515580736543909,0.19263456090651557,0.31444759206798867,155849.28328611897,2926246.4034628356,0.2672234387156751
