method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
cluster_median_mode,2821,0.4980579096045198,0.4555122297057781,0.7507975895072669,0.8387096774193549,194906.86423254164,5175949.815532665,0.6546236695844296
cluster_mode_mode,2821,0.4980579096045198,0.4519673874512584,0.7476072314781992,0.836582772066643,243626.27968805388,5786735.726094541,0.6517818997251615
cluster_median_median,2821,0.4980579096045198,0.44275079758950725,0.739808578518256,0.8316199929103155,219296.79758950727,5012234.882475341,0.6450560467759985
cluster_mode_median,2821,0.4980579096045198,0.43991492378589153,0.7380361573909962,0.8316199929103155,194940.6891173343,4842394.059774322,0.6434712664721215
cluster_mean_mode,2821,0.4980579096045198,0.4271534916696207,0.7192484934420418,0.814959234314073,185150.69124423963,4936886.420562812,0.6310252659782614
cluster_mean_median,2821,0.4980579096045198,0.42006380716058134,0.7132222616093584,0.8099964551577454,210545.3661822049,4899161.5991121335,0.6254353096883732
cluster_median_mean,2821,0.4980579096045198,0.38461538461538464,0.6841545551222971,0.7855370436015597,4.6498762653914805e+26,1.6608546747164761e+28,0.5979735412711779
cluster_mode_mean,2821,0.4980579096045198,0.380361573909961,0.684509039347749,0.7858915278270117,4.6498762653914805e+26,1.6608546747164761e+28,0.5958022412556758
cluster_mean_mean,2821,0.4980579096045198,0.3661822048918823,0.6568592697624955,0.7635590216235377,7.938187572620369e+26,2.205238495280973e+28,0.5795650936194673
dedup_text_median,5646,0.996822033898305,0.34396032589443853,0.5963513992206873,0.7027984413744244,218866.46723343962,5291786.2143706875,0.5461433182589672
dedup_text_mode,5646,0.996822033898305,0.35051363797378676,0.5864328728303223,0.6845554374778604,163046.1950053135,4636448.141655574,0.5412383279852159
median,5646,0.996822033898305,0.3294367693942614,0.5697839178179241,0.6709174636911087,207937.68986893375,5227630.204175546,0.5265193125488967
mode,5646,0.996822033898305,0.3328019837052781,0.5559688274884874,0.6422245837761247,163053.97360963514,4636448.15653669,0.5160919808585719
dedup_k_mode,5646,0.996822033898305,0.25664187035069075,0.5164718384697131,0.6556854410201913,256618.38026921716,5832424.846377679,0.4812056240853107
dedup_k_median,5646,0.996822033898305,0.2383988664541268,0.5069075451647184,0.657279489904357,258513.71749911443,5771345.459417571,0.4706500012481759
trimmed_mean_10,5646,0.996822033898305,0.2654976974849451,0.49132128940843073,0.6085724406659582,inf,inf,0.47028579069987236
winsor_mean_10,5646,0.996822033898305,0.2573503365214311,0.4801629472192703,0.5936946510804109,inf,inf,0.46205168304690153
dedup_text_mean,5646,0.996822033898305,0.23804463336875664,0.4677647892313142,0.5844845908607864,inf,inf,0.4437957592346971
mean,5646,0.996822033898305,0.23237690400283387,0.44686503719447396,0.5557917109458024,inf,inf,0.4313368414190193
dedup_k_mean,5646,0.996822033898305,0.1810131066241587,0.3914275593340418,0.5141693234148069,inf,inf,0.3884070550116911
