top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
40,reasoning,0.1,cluster_mean_mean,350,0.9887005649717514,0.20285714285714285,0.5057142857142857,0.68,38.917142857142856,453.5928917306481
40,reasoning,0.1,cluster_mean_mean_wlen,350,0.9887005649717514,0.22,0.48,0.6828571428571428,38.29714285714286,471.1484570402715
40,reasoning,0.1,cluster_mean_mean_wsize,350,0.9887005649717514,0.23142857142857143,0.5085714285714286,0.6714285714285714,35.59142857142857,354.5978124177144
40,reasoning,0.1,cluster_mean_median,350,0.9887005649717514,0.2257142857142857,0.52,0.6942857142857143,12.571428571428571,109.61741258968459
40,reasoning,0.1,cluster_mean_median_wlen,350,0.9887005649717514,0.26857142857142857,0.5371428571428571,0.6857142857142857,12.757142857142858,110.07006859269235
40,reasoning,0.1,cluster_mean_median_wsize,350,0.9887005649717514,0.24,0.52,0.6714285714285714,24.045714285714286,258.77475036906407
40,reasoning,0.1,cluster_mean_mode,350,0.9887005649717514,0.25142857142857145,0.52,0.68,63.26,1054.8895609087645
40,reasoning,0.1,cluster_mean_mode_wlen,350,0.9887005649717514,0.24571428571428572,0.5171428571428571,0.6742857142857143,63.714285714285715,1054.991875391871
40,reasoning,0.1,cluster_mean_mode_wsize,350,0.9887005649717514,0.24571428571428572,0.5228571428571429,0.6742857142857143,24.057142857142857,258.77533554362225
40,reasoning,0.1,cluster_median_mean,350,0.9887005649717514,0.2257142857142857,0.5285714285714286,0.6771428571428572,33.322857142857146,426.6892177820159
40,reasoning,0.1,cluster_median_mean_wlen,350,0.9887005649717514,0.24285714285714285,0.5028571428571429,0.6771428571428572,32.62,443.42356081484246
40,reasoning,0.1,cluster_median_mean_wsize,350,0.9887005649717514,0.26285714285714284,0.54,0.6857142857142857,19.98857142857143,215.92333295474512
40,reasoning,0.1,cluster_median_median,350,0.9887005649717514,0.26285714285714284,0.5457142857142857,0.7028571428571428,6.848571428571429,30.906910923887928
40,reasoning,0.1,cluster_median_median_wlen,350,0.9887005649717514,0.29714285714285715,0.5628571428571428,0.7,6.922857142857143,30.98520384220277
40,reasoning,0.1,cluster_median_median_wsize,350,0.9887005649717514,0.29428571428571426,0.5628571428571428,0.7028571428571428,6.3342857142857145,28.454625534097516
40,reasoning,0.1,cluster_median_mode,350,0.9887005649717514,0.2857142857142857,0.5657142857142857,0.7,6.942857142857143,30.99474609856138
