method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
cluster_median_median_wlen,2818,0.9950564971751412,0.3222143364088006,0.6068133427963094,0.7519517388218595,48786.74769339957,2589100.2825664063
cluster_median_mode_wlen,2818,0.9950564971751412,0.32008516678495386,0.5883605393896381,0.7295954577714692,48793.171043293114,2589100.3089320743
median,2822,0.9964689265536724,0.31998582565556344,0.615520907158044,0.7608079376328845,97345.89014883061,3656371.772704414
cluster_mode_median_wlen,2818,0.9950564971751412,0.3197303051809794,0.6022001419446416,0.7462739531582683,48786.750532292404,2589100.282566669
dedup_text_median,2822,0.9964689265536724,0.3196314670446492,0.615520907158044,0.7611622962437987,97345.89369241672,3656371.7727044467
mode,2822,0.9964689265536724,0.3189227498228207,0.6017009213323884,0.7370659107016301,48710.75124025514,2587207.9853600375
dedup_text_mode,2822,0.9964689265536724,0.3182140326009922,0.6017009213323884,0.7370659107016301,48710.74875974486,2587207.985360032
cluster_median_mode_wsize,2818,0.9950564971751412,0.3176011355571327,0.6061036195883606,0.7473385379701917,146200.42973740242,4480587.153416162
cluster_mode_mode_wlen,2818,0.9950564971751412,0.31724627395315824,0.5858765081618169,0.7253371185237757,48786.02200141945,2589100.2822179934
cluster_median_median_wsize,2818,0.9950564971751412,0.31511710432931156,0.6121362668559261,0.7540809084457062,97493.82434350603,3659130.7508710776
cluster_mode_median_wsize,2818,0.9950564971751412,0.31050390347764373,0.5958126330731015,0.740596167494677,97462.16394606103,3657936.050435054
cluster_median_mode,2818,0.9950564971751412,0.3097941802696948,0.5940383250532293,0.7363378282469837,48723.50780695529,2585747.121739594
cluster_mode_mode_wsize,2818,0.9950564971751412,0.3097941802696948,0.5904897090134847,0.7320794889992903,146168.7586941093,4479611.538566334
cluster_mode_median,2818,0.9950564971751412,0.3062455642299503,0.5936834634492548,0.7437899219304471,97519.71753016324,3168814.0337060587
cluster_median_median,2818,0.9950564971751412,0.3058907026259759,0.5979418026969482,0.7459190915542938,97535.62278211498,3169503.901571534
cluster_mode_mode,2818,0.9950564971751412,0.3044712562100781,0.5869410929737402,0.7310149041873669,48692.40134847409,2584056.2059976743
cluster_mean_mode_wlen,2818,0.9950564971751412,0.2995031937544358,0.5727466288147622,0.7125621007806955,1.1887863733144074e+63,6.310653175863228e+64
cluster_mean_median_wlen,2818,0.9950564971751412,0.29595457771469125,0.5887154009936125,0.7334989354151881,1.1887863733144074e+63,6.310653175863228e+64
cluster_mean_mode,2818,0.9950564971751412,0.28921220723917673,0.5738112136266856,0.7178850248403122,1.1887863733144074e+63,6.310653175863228e+64
cluster_mean_median,2818,0.9950564971751412,0.28282469836763663,0.5809084457061746,0.7324343506032647,1.1887863733144074e+63,6.310653175863228e+64
cluster_mean_mode_wsize,2818,0.9950564971751412,0.26472675656493966,0.5624556422995032,0.7068843151171044,1.1887863733144074e+63,6.310653175863228e+64
cluster_mean_median_wsize,2818,0.9950564971751412,0.2636621717530163,0.5734563520227112,0.7157558552164656,1.1887863733144074e+63,6.310653175863228e+64
trimmed_mean_10,2822,0.9964689265536724,0.26222537207654145,0.5637845499645642,0.7200566973777462,1.3394595149295612e+26,5.074466559023324e+27
cluster_median_mean_wsize,2818,0.9950564971751412,0.2576295244854507,0.5464868701206529,0.6976579134137686,2.4999066153673748e+26,8.168385568800932e+27
winsor_mean_10,2822,0.9964689265536724,0.25301204819277107,0.5510276399716513,0.7087172218284904,2.0874830591716713e+26,7.845678646352971e+27
cluster_mode_mean_wsize,2818,0.9950564971751412,0.2523066004258339,0.5347764371894961,0.6891412349183819,2.4999066153673748e+26,8.168385568800932e+27
cluster_median_mean_wlen,2818,0.9950564971751412,0.24662881476224272,0.5234208658623137,0.681334279630944,2.612004200080764e+26,8.574458099486267e+27
cluster_mode_mean_wlen,2818,0.9950564971751412,0.24201561391057488,0.5166784953867991,0.6777856635911994,2.612004200080764e+26,8.574458099486267e+27
cluster_median_mean,2818,0.9950564971751412,0.23598296664300922,0.5198722498225692,0.6717530163236338,2.5600255666371987e+26,8.395891652548453e+27
cluster_mode_mean,2818,0.9950564971751412,0.23562810503903478,0.5127750177430802,0.6674946770759403,2.5600255666371987e+26,8.395891652548453e+27
cluster_mean_mean_wsize,2818,0.9950564971751412,0.23527324343506031,0.5163236337828248,0.6760113555713272,1.1887863733144074e+63,6.310653175863228e+64
mean,2822,0.9964689265536724,0.23493975903614459,0.5148830616583983,0.6757618710134656,1.1871013465627216e+63,6.306179121294539e+64
cluster_mean_mean_wlen,2818,0.9950564971751412,0.23491838183108588,0.5102909865152591,0.6699787083037615,1.1887863733144074e+63,6.310653175863228e+64
dedup_text_mean,2822,0.9964689265536724,0.23458540042523032,0.5152374202693125,0.6757618710134656,1.1871013465627216e+63,6.306179121294539e+64
dedup_k_median,2822,0.9964689265536724,0.22856130403968816,0.5474840538625089,0.7090715804394047,218886.0322466336,5326845.883845901
cluster_mean_mean,2818,0.9950564971751412,0.22178850248403123,0.5042583392476934,0.663236337828247,1.1887863733144074e+63,6.310653175863228e+64
dedup_k_mode,2822,0.9964689265536724,0.21084337349397592,0.5205527994330262,0.6977321048901488,194581.4677533664,5168008.802399283
dedup_k_mean,2822,0.9964689265536724,0.18072289156626506,0.4408221119773211,0.6105598866052445,2.6380029923616032e+63,1.4013731380654533e+65
