Run: /work/users/a/s/asameull/GE8/runs/ll_7b_g2_30226581
Generated: 2026-02-27T11:41:45
Chosen k column: k_llama70b
Calibration alpha: 0.001
Calibration CV folds: 0

=== Global ranking (acc desc, score desc) ===
              method    n  coverage      acc  acc_within1  acc_within2          mae         rmse  score_inv1p_abs
           calib_map 2822  0.996469 0.363572     0.638554     0.775691 4.989369e+00 3.812589e+01         0.578278
         adaptive_v2 2822  0.996469 0.353650     0.634656     0.770730 5.126860e+00 3.852594e+01         0.571970
  trim_med_r3_median 2822  0.996469 0.328136     0.621545     0.762225 9.734592e+04 3.656372e+06         0.553542
    ransac_r3_median 2822  0.996469 0.327073     0.620482     0.766832 8.024451e+00 6.986069e+01         0.553366
  trim_med_r2_median 2822  0.996469 0.324947     0.619064     0.758327 9.734591e+04 3.656372e+06         0.551314
    window_w2_median 2822  0.996469 0.323529     0.618001     0.750886 4.871071e+04 2.587208e+06         0.548947
      window_w2_mode 2822  0.996469 0.323529     0.609497     0.743444 4.871072e+04 2.587208e+06         0.546791
         kde_mode_h1 2822  0.996469 0.323175     0.602764     0.744153 8.050319e+00 6.971283e+01         0.545043
 kernel_inv1p_argmax 2822  0.996469 0.323175     0.602410     0.741673 4.871081e+04 2.587209e+06         0.544835
    ransac_r2_median 2822  0.996469 0.322821     0.623671     0.763643 8.008859e+00 6.983876e+01         0.551077
    trim_med_r2_mode 2822  0.996469 0.322821     0.607016     0.743799 4.871007e+04 2.587208e+06         0.546939
    trim_med_r3_mode 2822  0.996469 0.321403     0.605953     0.740964 4.871004e+04 2.587208e+06         0.545288
      window_w3_mode 2822  0.996469 0.321403     0.605245     0.742027 4.871070e+04 2.587208e+06         0.544712
         kde_mode_h2 2822  0.996469 0.321049     0.614458     0.752658 8.064848e+00 6.979088e+01         0.546980
     tri_mean_med_h2 2822  0.996469 0.320340     0.619419     0.760454 6.005507e+05 2.835578e+07         0.549761
     tri_mean_med_h3 2822  0.996469 0.319986     0.621191     0.761162 6.005507e+05 2.835578e+07         0.549884
mix_lap_u_p85_b1_d50 2822  0.996469 0.319631     0.620482     0.762934 4.871069e+04 2.587209e+06         0.549440
                mode 2822  0.996469 0.319631     0.603118     0.736712 4.871075e+04 2.587208e+06         0.543101
      iqr_fence_mode 2822  0.996469 0.319631     0.602764     0.737420 4.871016e+04 2.587208e+06         0.542997
    window_w3_median 2822  0.996469 0.319277     0.618356     0.756556 4.871066e+04 2.587208e+06         0.547632
        centrality_k 2822  0.996469 0.267895     0.540397     0.676471          inf          inf         0.495820
  median_of_means_g5 2822  0.996469 0.263288     0.556343     0.711906          inf          inf         0.502630
