top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,reasoning,0.1,adaptive_v2,352,0.9943502824858758,0.30113636363636365,0.5653409090909091,0.7159090909090909,5.170454545454546,21.167486860749435,0.5242590357010035
40,reasoning,0.1,calib_map,352,0.9943502824858758,0.3210227272727273,0.5823863636363636,0.7215909090909091,5.110795454545454,21.160171098294335,0.5378762344744522
40,reasoning,0.1,centrality_k,352,0.9943502824858758,0.24147727272727273,0.5085227272727273,0.6392045454545454,7.082386363636363,29.41353854945032,0.47159083316753064
40,reasoning,0.1,iqr_fence_mode,352,0.9943502824858758,0.2869318181818182,0.5482954545454546,0.6875,6.528409090909091,29.080022821048942,0.5093485791962598
40,reasoning,0.1,kde_mode_h1,352,0.9943502824858758,0.29545454545454547,0.5596590909090909,0.6960227272727273,6.5085227272727275,29.071668886016536,0.5161065258933367
40,reasoning,0.1,kde_mode_h2,352,0.9943502824858758,0.29545454545454547,0.5710227272727273,0.7017045454545454,6.568181818181818,29.11009665515948,0.5178988166746558
40,reasoning,0.1,kernel_inv1p_argmax,352,0.9943502824858758,0.29261363636363635,0.5539772727272727,0.6931818181818182,6.636363636363637,29.16352796964667,0.5133434013694972
40,reasoning,0.1,median_of_means_g5,352,0.9943502824858758,0.25,0.5227272727272727,0.6931818181818182,33.45738636363637,389.6582163488688,0.4875592836417043
40,reasoning,0.1,mix_lap_u_p85_b1_d50,352,0.9943502824858758,0.29829545454545453,0.5681818181818182,0.7073863636363636,6.568181818181818,29.15505179989474,0.5207281173479633
40,reasoning,0.1,mode,352,0.9943502824858758,0.2869318181818182,0.5482954545454546,0.6846590909090909,6.505681818181818,29.073672095057223,0.509603532576213
40,reasoning,0.1,ransac_r2_median,352,0.9943502824858758,0.29261363636363635,0.5767045454545454,0.7045454545454546,6.556818181818182,29.117317558768733,0.5183090935582393
40,reasoning,0.1,ransac_r3_median,352,0.9943502824858758,0.30113636363636365,0.5710227272727273,0.7130681818181818,6.497159090909091,29.107119950592534,0.5236585822139842
40,reasoning,0.1,tri_mean_med_h2,352,0.9943502824858758,0.2869318181818182,0.5653409090909091,0.7017045454545454,17.12215909090909,211.8102643126197,0.5157607357141151
40,reasoning,0.1,tri_mean_med_h3,352,0.9943502824858758,0.2897727272727273,0.5681818181818182,0.7017045454545454,17.12215909090909,211.81068010028545,0.5174827095568045
40,reasoning,0.1,trim_med_r2_median,352,0.9943502824858758,0.2897727272727273,0.5681818181818182,0.7045454545454546,6.474431818181818,29.1304374557547,0.5166159851227277
40,reasoning,0.1,trim_med_r2_mode,352,0.9943502824858758,0.29261363636363635,0.5539772727272727,0.6931818181818182,6.4289772727272725,28.422492293636356,0.5142139290613108
40,reasoning,0.1,trim_med_r3_median,352,0.9943502824858758,0.30113636363636365,0.5738636363636364,0.7102272727272727,6.4460227272727275,29.1304374557547,0.5242731874532256
40,reasoning,0.1,trim_med_r3_mode,352,0.9943502824858758,0.2897727272727273,0.5482954545454546,0.6903409090909091,6.463068181818182,28.428288967793396,0.5111070690652462
40,reasoning,0.1,window_w2_median,352,0.9943502824858758,0.2840909090909091,0.5625,0.6903409090909091,6.596590909090909,29.118488347377575,0.5101791316640729
40,reasoning,0.1,window_w2_mode,352,0.9943502824858758,0.2869318181818182,0.5511363636363636,0.6903409090909091,6.605113636363637,29.115512500758392,0.5095100978096698
