method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
calib_map,2822,0.9964689265536724,0.3635719347980156,0.6385542168674698,0.7756909992912828,4.989369241672573,38.12588719326496,0.5782782872322229
adaptive_v2,2822,0.9964689265536724,0.35364989369241673,0.6346562721474132,0.7707299787384834,5.126860382707299,38.525939975912856,0.5719699775392013
trim_med_r3_median,2822,0.9964689265536724,0.3281360737065911,0.6215450035435861,0.7622253720765415,97345.92097802977,3656371.772705107,0.5535415861432705
ransac_r3_median,2822,0.9964689265536724,0.32707299787384836,0.6204819277108434,0.7668320340184267,8.024450744153082,69.86069209860509,0.5533661929443136
trim_med_r2_median,2822,0.9964689265536724,0.32494684620836284,0.6190644932671864,0.7583274273564847,97345.91495393337,3656371.7727049068,0.5513139001722704
window_w2_median,2822,0.9964689265536724,0.3235294117647059,0.6180014174344437,0.7508858965272857,48710.70517363572,2587207.9853588114,0.5489468104977134
window_w2_mode,2822,0.9964689265536724,0.3235294117647059,0.6094968107725017,0.7434443656980865,48710.72289156626,2587207.9853582634,0.5467910870490165
kde_mode_h1,2822,0.9964689265536724,0.32317505315379164,0.6027639971651311,0.744153082919915,8.050318922749822,69.71282594069649,0.5450429787350188
kernel_inv1p_argmax,2822,0.9964689265536724,0.32317505315379164,0.6024096385542169,0.7416725726435153,48710.81041814316,2587208.6253908817,0.5448346349390875
ransac_r2_median,2822,0.9964689265536724,0.3228206945428774,0.6236711552090716,0.7636428065201984,8.008858965272855,69.83876084200047,0.5510768041210586
trim_med_r2_mode,2822,0.9964689265536724,0.3228206945428774,0.607016300496102,0.7437987243090007,48710.06945428774,2587207.9851560663,0.5469389058663725
trim_med_r3_mode,2822,0.9964689265536724,0.32140326009922043,0.6059532246633593,0.7409638554216867,48710.044294826366,2587207.9851509724,0.5452879283512562
window_w3_mode,2822,0.9964689265536724,0.32140326009922043,0.6052445074415308,0.7420269312544295,48710.700212615164,2587207.985356186,0.5447121549968614
kde_mode_h2,2822,0.9964689265536724,0.32104890148830617,0.6144578313253012,0.7526576895818569,8.064847625797308,69.79087675101529,0.5469802271519894
tri_mean_med_h2,2822,0.9964689265536724,0.3203401842664777,0.6194188518781006,0.7604535790219702,600550.6878100638,28355781.46577095,0.5497606651136234
tri_mean_med_h3,2822,0.9964689265536724,0.31998582565556344,0.6211906449326718,0.7611622962437987,600550.7313961729,28355781.465771195,0.5498838374933157
mix_lap_u_p85_b1_d50,2822,0.9964689265536724,0.3196314670446492,0.6204819277108434,0.7629340892983699,48710.694897236004,2587208.625389418,0.549439742891132
mode,2822,0.9964689265536724,0.3196314670446492,0.6031183557760453,0.7367115520907158,48710.75407512402,2587207.9853602615,0.5431008780509129
iqr_fence_mode,2822,0.9964689265536724,0.3196314670446492,0.6027639971651311,0.7374202693125443,48710.159815733525,2587207.9851558767,0.5429974337609759
window_w3_median,2822,0.9964689265536724,0.3192771084337349,0.6183557760453579,0.7565556343019135,48710.65875265769,2587207.985356671,0.5476318392978093
centrality_k,2822,0.9964689265536724,0.2678951098511694,0.540396881644224,0.6764705882352942,inf,inf,0.4958196255664813
median_of_means_g5,2822,0.9964689265536724,0.2632884479092842,0.556343019135365,0.7119064493267186,inf,inf,0.502630433336062
