top_k_setting,model_kind,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,reasoning,adaptive_v2,1411,0.9964689265536724,0.3465627214741318,0.6293408929836996,0.7703756201275691,4.5357902197023385,20.37114870359298,0.5674622574851029
40,reasoning,calib_map,1411,0.9964689265536724,0.35790219702338766,0.6371367824238129,0.77462792345854,4.504606661941885,20.3380711175476,0.5749206880793659
40,reasoning,centrality_k,1411,0.9964689265536724,0.26860382707299785,0.5379163713678242,0.6789510985116939,inf,inf,0.4960061391432705
40,reasoning,iqr_fence_mode,1411,0.9964689265536724,0.3196314670446492,0.6038270729978739,0.7349397590361446,97412.31467044649,3658864.620625677,0.5429448499031334
40,reasoning,kde_mode_h1,1411,0.9964689265536724,0.3260099220411056,0.6002834868887313,0.744153082919915,8.18781006378455,70.07056785193653,0.5458694784212996
40,reasoning,kde_mode_h2,1411,0.9964689265536724,0.32884479092841956,0.6123316796598157,0.7540751240255138,8.146704464918498,70.0672603862158,0.5505572429087726
40,reasoning,kernel_inv1p_argmax,1411,0.9964689265536724,0.32104890148830617,0.6009922041105599,0.742735648476258,97413.55279943303,3658865.526054127,0.5436865282748057
40,reasoning,median_of_means_g5,1411,0.9964689265536724,0.261516654854713,0.5520907158043941,0.7179305457122608,inf,inf,0.5021283949750679
40,reasoning,mix_lap_u_p85_b1_d50,1411,0.9964689265536724,0.32459248759744863,0.6172927002126152,0.7654145995747696,97413.32034018426,3658865.526050566,0.5520337322508153
40,reasoning,mode,1411,0.9964689265536724,0.3203401842664777,0.6059532246633593,0.7342310418143161,97413.5095676825,3658864.620914776,0.5437218275010062
40,reasoning,ransac_r2_median,1411,0.9964689265536724,0.3260099220411056,0.6236711552090716,0.7661233167965982,7.947554925584692,69.96740154190284,0.5532715632529195
40,reasoning,ransac_r3_median,1411,0.9964689265536724,0.3316796598157335,0.6201275690999292,0.7661233167965982,7.965981573352233,69.98495332867434,0.5560978245079826
40,reasoning,tri_mean_med_h2,1411,0.9964689265536724,0.3238837703756201,0.6158752657689582,0.7597448618001418,1136211.0815024804,40026999.19938495,0.5510691151358506
40,reasoning,tri_mean_med_h3,1411,0.9964689265536724,0.32175761871013464,0.6187101346562721,0.7639971651311127,1136211.137491141,40026999.199385256,0.5509419468489978
40,reasoning,trim_med_r2_median,1411,0.9964689265536724,0.3253012048192771,0.6187101346562721,0.7604535790219702,97412.52303330971,3658865.073280286,0.5518570268288319
40,reasoning,trim_med_r2_mode,1411,0.9964689265536724,0.32104890148830617,0.6094968107725017,0.742735648476258,97413.27852586818,3658864.62090966,0.5464945660409968
40,reasoning,trim_med_r3_median,1411,0.9964689265536724,0.333805811481219,0.6215450035435861,0.7639971651311127,97412.51807228915,3658865.073280565,0.5569386460109307
40,reasoning,trim_med_r3_mode,1411,0.9964689265536724,0.3203401842664777,0.6073706591070163,0.7377746279234585,97413.22749822821,3658864.620903661,0.5448176316722995
40,reasoning,window_w2_median,1411,0.9964689265536724,0.32175761871013464,0.6123316796598157,0.7540751240255138,97413.46633593197,3658864.620913356,0.5475248386757303
40,reasoning,window_w2_mode,1411,0.9964689265536724,0.32175761871013464,0.6109142452161588,0.7448618001417434,97413.47696669029,3658864.620912691,0.5465047286871623
40,reasoning,window_w3_median,1411,0.9964689265536724,0.32246633593196317,0.6180014174344437,0.7562012756909993,97413.31396172928,3658864.6209100266,0.5492157092526644
40,reasoning,window_w3_mode,1411,0.9964689265536724,0.3182140326009922,0.6031183557760453,0.7406094968107725,97413.3671155209,3658864.620909391,0.5426213189761689
none,reasoning,adaptive_v2,1411,0.9964689265536724,0.36073706591070165,0.6399716513111269,0.7710843373493976,5.717930545712261,50.532290691709015,0.5764776975933077
none,reasoning,calib_map,1411,0.9964689265536724,0.3692416725726435,0.6399716513111269,0.7767540751240255,5.47413182140326,49.93525219486436,0.5816358863850883
none,reasoning,centrality_k,1411,0.9964689265536724,0.2671863926293409,0.5428773919206237,0.6739900779588944,97227.9284195606,3651816.434791092,0.49563311198969573
none,reasoning,iqr_fence_mode,1411,0.9964689265536724,0.3196314670446492,0.6017009213323884,0.739900779588944,8.0049610205528,69.58723601363262,0.5430500176188257
none,reasoning,kde_mode_h1,1411,0.9964689265536724,0.3203401842664777,0.6052445074415308,0.744153082919915,7.912827781715095,69.35323872886434,0.5442164790487448
none,reasoning,kde_mode_h2,1411,0.9964689265536724,0.3132530120481928,0.6165839829907866,0.7512402551381998,7.982990786676116,69.51339422960908,0.5434032113952124
none,reasoning,kernel_inv1p_argmax,1411,0.9964689265536724,0.3253012048192771,0.6038270729978739,0.7406094968107725,8.068036853295535,69.61757437559775,0.5459827416033759
none,reasoning,median_of_means_g5,1411,0.9964689265536724,0.26506024096385544,0.5605953224663359,0.7058823529411765,97241.77746279235,3651816.4446031274,0.5031324716970609
none,reasoning,mix_lap_u_p85_b1_d50,1411,0.9964689265536724,0.3146704464918498,0.6236711552090716,0.7604535790219702,8.069454287739193,69.69589709795804,0.5468457535314565
none,reasoning,mode,1411,0.9964689265536724,0.3189227498228207,0.6002834868887313,0.7391920623671155,7.998582565556343,69.58433843845746,0.5424799286008274
none,reasoning,ransac_r2_median,1411,0.9964689265536724,0.3196314670446492,0.6236711552090716,0.7611622962437987,8.070163004961021,69.70988275249361,0.5488820449892041
none,reasoning,ransac_r3_median,1411,0.9964689265536724,0.32246633593196317,0.6208362863217576,0.7675407512402551,8.082919914953933,69.73620945086905,0.550634561380652
none,reasoning,tri_mean_med_h2,1411,0.9964689265536724,0.31679659815733524,0.622962437987243,0.7611622962437987,64890.294117647056,2437215.6575803985,0.5484522150914027
none,reasoning,tri_mean_med_h3,1411,0.9964689265536724,0.3182140326009922,0.6236711552090716,0.7583274273564847,64890.32530120482,2437215.6575811002,0.54882572813764
none,reasoning,trim_med_r2_median,1411,0.9964689265536724,0.32459248759744863,0.6194188518781006,0.7562012756909993,97279.30687455705,3653876.770773214,0.550770773515715
