top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,reasoning,0.1,cluster_mean_mean,350,0.9887005649717514,0.20285714285714285,0.5057142857142857,0.68,38.917142857142856,453.5928917306481,0.45513605087511727
40,reasoning,0.1,cluster_mean_mean_wsize,350,0.9887005649717514,0.23142857142857143,0.5085714285714286,0.6714285714285714,35.59142857142857,354.5978124177144,0.46939409703564017
40,reasoning,0.1,cluster_mean_mean_wsqrt,350,0.9887005649717514,0.2257142857142857,0.4942857142857143,0.6771428571428572,39.24,415.26518205668464,0.464508989650583
40,reasoning,0.1,cluster_mean_median,350,0.9887005649717514,0.2257142857142857,0.52,0.6942857142857143,12.571428571428571,109.61741258968459,0.4760022447873995
40,reasoning,0.1,cluster_mean_median_wsize,350,0.9887005649717514,0.24,0.52,0.6714285714285714,24.045714285714286,258.77475036906407,0.4794336131339391
40,reasoning,0.1,cluster_mean_median_wsqrt,350,0.9887005649717514,0.23714285714285716,0.5057142857142857,0.6771428571428572,23.99142857142857,258.7687715758166,0.47746174182669554
40,reasoning,0.1,cluster_mean_mode,350,0.9887005649717514,0.24285714285714285,0.5142857142857142,0.68,63.61142857142857,1054.9724248258137,0.4808536662031307
40,reasoning,0.1,cluster_mean_mode_wsize,350,0.9887005649717514,0.24571428571428572,0.5257142857142857,0.6742857142857143,24.054285714285715,258.77531898209634,0.4830866030012147
40,reasoning,0.1,cluster_mean_mode_wsqrt,350,0.9887005649717514,0.2542857142857143,0.5171428571428571,0.6771428571428572,24.034285714285716,258.77466204071396,0.4863349023209426
40,reasoning,0.1,cluster_median_mean,350,0.9887005649717514,0.2257142857142857,0.5285714285714286,0.6771428571428572,33.322857142857146,426.6892177820159,0.47015417350788663
40,reasoning,0.1,cluster_median_mean_wsize,350,0.9887005649717514,0.26285714285714284,0.54,0.6857142857142857,19.98857142857143,215.92333295474512,0.4922779045879092
40,reasoning,0.1,cluster_median_mean_wsqrt,350,0.9887005649717514,0.24,0.5314285714285715,0.68,27.782857142857143,340.66629671026413,0.47841416242103985
40,reasoning,0.1,cluster_median_median,350,0.9887005649717514,0.26285714285714284,0.5457142857142857,0.7028571428571428,6.848571428571429,30.906910923887928,0.4996228968328563
40,reasoning,0.1,cluster_median_median_wsize,350,0.9887005649717514,0.29428571428571426,0.5628571428571428,0.7028571428571428,6.3342857142857145,28.454625534097516,0.5176740188016257
40,reasoning,0.1,cluster_median_median_wsqrt,350,0.9887005649717514,0.29428571428571426,0.56,0.7085714285714285,6.274285714285714,28.440012055452538,0.5189733385295167
40,reasoning,0.1,cluster_median_mode,350,0.9887005649717514,0.2914285714285714,0.5657142857142857,0.7028571428571428,6.862857142857143,30.99926266404228,0.5178327910579148
40,reasoning,0.1,cluster_median_mode_wsize,350,0.9887005649717514,0.3,0.5742857142857143,0.7057142857142857,6.354285714285714,28.463811611036416,0.5219587023720236
40,reasoning,0.1,cluster_median_mode_wsqrt,350,0.9887005649717514,0.30857142857142855,0.5657142857142857,0.7114285714285714,6.3,28.451211372653862,0.526214938199688
40,reasoning,0.1,cluster_mode_mean,350,0.9887005649717514,0.2342857142857143,0.5342857142857143,0.6742857142857143,33.18857142857143,426.6465248221965,0.4743671385942649
40,reasoning,0.1,cluster_mode_mean_wsize,350,0.9887005649717514,0.25142857142857145,0.5285714285714286,0.6771428571428572,20.094285714285714,215.9479236165185,0.48302858561715784
40,reasoning,0.1,cluster_mode_mean_wsqrt,350,0.9887005649717514,0.24,0.5314285714285715,0.6742857142857143,27.771428571428572,340.6772163122825,0.4769568732082382
40,reasoning,0.1,cluster_mode_median,350,0.9887005649717514,0.2571428571428571,0.5428571428571428,0.6914285714285714,6.66,29.85885846062151,0.49496043928287486
40,reasoning,0.1,cluster_mode_median_wsize,350,0.9887005649717514,0.28285714285714286,0.5485714285714286,0.6857142857142857,6.511428571428572,29.121764075295005,0.5074811382075483
40,reasoning,0.1,cluster_mode_median_wsqrt,350,0.9887005649717514,0.28285714285714286,0.5514285714285714,0.6942857142857143,6.448571428571428,29.10576771510613,0.5095605032869132
40,reasoning,0.1,cluster_mode_mode,350,0.9887005649717514,0.2914285714285714,0.5657142857142857,0.6942857142857143,63.07714285714286,1054.939062559675,0.5150269575305793
40,reasoning,0.1,cluster_mode_mode_wsize,350,0.9887005649717514,0.29428571428571426,0.56,0.6885714285714286,6.5285714285714285,29.130984976726854,0.5144801074922318
40,reasoning,0.1,cluster_mode_mode_wsqrt,350,0.9887005649717514,0.3,0.5514285714285714,0.6885714285714286,6.5,29.122254622293827,0.5162918988754518
40,reasoning,0.1,dedup_k_mean,352,0.9943502824858758,0.1903409090909091,0.4772727272727273,0.6534090909090909,49.80965909090909,474.81615760494844,0.4395644176942545
40,reasoning,0.1,dedup_k_median,352,0.9943502824858758,0.21022727272727273,0.5170454545454546,0.6988636363636364,8.056818181818182,39.05503110414143,0.4661786002220957
40,reasoning,0.1,dedup_k_mode,352,0.9943502824858758,0.22727272727272727,0.5397727272727273,0.7073863636363636,9.661931818181818,60.94247940028815,0.48034509506068107
40,reasoning,0.1,dedup_text_mean,352,0.9943502824858758,0.22727272727272727,0.4971590909090909,0.6676136363636364,35.42045454545455,353.6325214502658,0.4653652991587307
40,reasoning,0.1,dedup_text_median,352,0.9943502824858758,0.2869318181818182,0.5625,0.7017045454545454,6.5085227272727275,29.162018027813943,0.5146418182341234
40,reasoning,0.1,dedup_text_mode,352,0.9943502824858758,0.2840909090909091,0.5482954545454546,0.6903409090909091,6.457386363636363,29.028444122650082,0.5088057890975487
40,reasoning,0.1,mean,352,0.9943502824858758,0.23011363636363635,0.4971590909090909,0.6676136363636364,35.42045454545455,353.6326499863434,0.46681366140254743
40,reasoning,0.1,median,352,0.9943502824858758,0.2869318181818182,0.5625,0.6988636363636364,6.465909090909091,29.121610220215878,0.5144732958810034
40,reasoning,0.1,mode,352,0.9943502824858758,0.2869318181818182,0.5482954545454546,0.6875,6.463068181818182,29.02942277007306,0.5097527587945183
40,reasoning,0.1,trimmed_mean_10,352,0.9943502824858758,0.26420454545454547,0.53125,0.6846590909090909,21.90625,251.39741830778252,0.49317215783537754
40,reasoning,0.1,winsor_mean_10,352,0.9943502824858758,0.25,0.5284090909090909,0.6818181818181818,26.982954545454547,305.0633410383072,0.4851973629272356
40,reasoning,0.4,cluster_mean_mean,352,0.9943502824858758,0.23295454545454544,0.5170454545454546,0.6590909090909091,5746803.3835227275,106607360.94992796,0.4672212525738448
40,reasoning,0.4,cluster_mean_mean_wsize,352,0.9943502824858758,0.21306818181818182,0.5142045454545454,0.7045454545454546,4358811.0227272725,79971205.44746047,0.4634001188272085
40,reasoning,0.4,cluster_mean_mean_wsqrt,352,0.9943502824858758,0.19886363636363635,0.5255681818181818,0.6761363636363636,5201136.53125,96048827.73934506,0.4550552999469883
40,reasoning,0.4,cluster_mean_median,352,0.9943502824858758,0.2755681818181818,0.5965909090909091,0.7272727272727273,64962.920454545456,1218568.2628606847,0.5184332695960219
40,reasoning,0.4,cluster_mean_median_wsize,352,0.9943502824858758,0.26420454545454547,0.5909090909090909,0.7301136363636364,129907.76988636363,2437136.5117955324,0.5139128838264772
40,reasoning,0.4,cluster_mean_median_wsqrt,352,0.9943502824858758,0.26420454545454547,0.6164772727272727,0.7556818181818182,129907.92045454546,2437136.511799514,0.5205857323249024
40,reasoning,0.4,cluster_mean_mode,352,0.9943502824858758,0.29829545454545453,0.59375,0.7244318181818182,20.116477272727273,263.5911574682553,0.5296904569490463
40,reasoning,0.4,cluster_mean_mode_wsize,352,0.9943502824858758,0.26136363636363635,0.5710227272727273,0.7159090909090909,129908.01420454546,2437136.5117982635,0.5072634020225966
40,reasoning,0.4,cluster_mean_mode_wsqrt,352,0.9943502824858758,0.2755681818181818,0.5880681818181818,0.7272727272727273,129907.96306818182,2437136.5117985993,0.5192588234108956
40,reasoning,0.4,cluster_median_mean,352,0.9943502824858758,0.2471590909090909,0.5426136363636364,0.6761363636363636,5681851.738636363,106600398.52645789,0.48210291553055556
40,reasoning,0.4,cluster_median_mean_wsize,352,0.9943502824858758,0.2528409090909091,0.5568181818181818,0.71875,4261384.105113637,79950321.88035204,0.4930431653674885
40,reasoning,0.4,cluster_median_mean_wsqrt,352,0.9943502824858758,0.23863636363636365,0.5539772727272727,0.6988636363636364,5118782.142045454,96036404.19460364,0.4830747205877753
40,reasoning,0.4,cluster_median_median,352,0.9943502824858758,0.3096590909090909,0.6107954545454546,0.7471590909090909,6.1164772727272725,28.248944067152156,0.5412082323051345
40,reasoning,0.4,cluster_median_median_wsize,352,0.9943502824858758,0.33238636363636365,0.6278409090909091,0.7698863636363636,9.75,94.72325120149655,0.5592773860513975
40,reasoning,0.4,cluster_median_median_wsqrt,352,0.9943502824858758,0.32386363636363635,0.6392045454545454,0.78125,9.980113636363637,94.82728018973137,0.557269993135643
40,reasoning,0.4,cluster_median_mode,352,0.9943502824858758,0.32670454545454547,0.6107954545454546,0.7443181818181818,6.338068181818182,28.46753533732448,0.5476025966534078
40,reasoning,0.4,cluster_median_mode_wsize,352,0.9943502824858758,0.33238636363636365,0.6164772727272727,0.7585227272727273,10.014204545454545,94.80945304326798,0.5552810358588742
40,reasoning,0.4,cluster_median_mode_wsqrt,352,0.9943502824858758,0.32954545454545453,0.6051136363636364,0.7528409090909091,10.022727272727273,94.81129583642351,0.5517077810907665
40,reasoning,0.4,cluster_mode_mean,352,0.9943502824858758,0.2471590909090909,0.5511363636363636,0.6732954545454546,5681856.880681818,106600398.52671087,0.48189482575663495
40,reasoning,0.4,cluster_mode_mean_wsize,352,0.9943502824858758,0.25,0.5511363636363636,0.6903409090909091,4261387.707386363,79950321.88046008,0.48766961479267523
40,reasoning,0.4,cluster_mode_mean_wsqrt,352,0.9943502824858758,0.23295454545454544,0.5511363636363636,0.6903409090909091,5118786.732954546,96036404.19478461,0.47759531825030965
40,reasoning,0.4,cluster_mode_median,352,0.9943502824858758,0.3096590909090909,0.6136363636363636,0.7443181818181818,6.573863636363637,31.358629376355662,0.5399115918438046
40,reasoning,0.4,cluster_mode_median_wsize,352,0.9943502824858758,0.3068181818181818,0.6079545454545454,0.75,10.204545454545455,95.68615839864673,0.540583149174569
40,reasoning,0.4,cluster_mode_median_wsqrt,352,0.9943502824858758,0.3039772727272727,0.6221590909090909,0.7556818181818182,10.460227272727273,95.79384232440376,0.541201373890237
40,reasoning,0.4,cluster_mode_mode,352,0.9943502824858758,0.3068181818181818,0.6107954545454546,0.7301136363636364,62.84375,1051.9799230606673,0.5358074695868856
40,reasoning,0.4,cluster_mode_mode_wsize,352,0.9943502824858758,0.3068181818181818,0.5994318181818182,0.7414772727272727,10.488636363636363,95.77895360957675,0.5369425697338728
40,reasoning,0.4,cluster_mode_mode_wsqrt,352,0.9943502824858758,0.3039772727272727,0.5909090909090909,0.7386363636363636,10.528409090909092,95.78645757384211,0.5342427600738358
40,reasoning,0.4,dedup_k_mean,353,0.9971751412429378,0.1529745042492918,0.43059490084985835,0.603399433427762,6731705.402266289,122880344.48241937,0.40318835063080555
40,reasoning,0.4,dedup_k_median,353,0.9971751412429378,0.2096317280453258,0.5439093484419264,0.7280453257790368,194303.89801699718,3650523.095370836,0.4761040815820135
40,reasoning,0.4,dedup_k_mode,353,0.9971751412429378,0.22096317280453256,0.5495750708215298,0.71671388101983,388601.6940509915,7301046.137346163,0.48109655504328297
40,reasoning,0.4,dedup_text_mean,353,0.9971751412429378,0.22946175637393768,0.5269121813031161,0.7053824362606232,4346463.082152975,79857851.44938262,0.47413074815577744
40,reasoning,0.4,dedup_text_median,353,0.9971751412429378,0.3059490084985836,0.6317280453257791,0.7818696883852692,7.926345609065156,59.50580232141244,0.5476157682997101
40,reasoning,0.4,dedup_text_mode,353,0.9971751412429378,0.311614730878187,0.6203966005665722,0.7450424929178471,10.63172804532578,95.89198065883414,0.5432917887401729
40,reasoning,0.4,mean,353,0.9971751412429378,0.22946175637393768,0.5269121813031161,0.7053824362606232,4346463.082152975,79857851.44938262,0.47413074815577744
40,reasoning,0.4,median,353,0.9971751412429378,0.3059490084985836,0.6317280453257791,0.7818696883852692,7.926345609065156,59.50580232141244,0.5476157682997101
40,reasoning,0.4,mode,353,0.9971751412429378,0.311614730878187,0.6203966005665722,0.7450424929178471,10.63172804532578,95.89198065883414,0.5432917887401729
40,reasoning,0.4,trimmed_mean_10,353,0.9971751412429378,0.2577903682719547,0.5807365439093485,0.7337110481586402,97163.83002832861,1825261.5532116613,0.5068338136384741
40,reasoning,0.4,winsor_mean_10,353,0.9971751412429378,0.24645892351274787,0.56657223796034,0.7252124645892352,97166.65439093484,1825261.556959722,0.4966235282002285
40,reasoning,0.7,cluster_mean_mean,353,0.9971751412429378,0.24079320113314448,0.5127478753541076,0.6572237960339944,9.11866540761725e+26,1.713241686455085e+28,0.47074695402155087
40,reasoning,0.7,cluster_mean_mean_wsize,353,0.9971751412429378,0.24079320113314448,0.5297450424929179,0.6770538243626062,8.638735649321604e+26,1.6230710713785016e+28,0.47591282784714795
40,reasoning,0.7,cluster_mean_mean_wsqrt,353,0.9971751412429378,0.23796033994334279,0.5155807365439093,0.6628895184135978,8.913651424845796e+26,1.6747230561633283e+28,0.4706371379695251
40,reasoning,0.7,cluster_mean_median,353,0.9971751412429378,0.3087818696883853,0.6090651558073654,0.7592067988668555,194873.34560906515,3661153.5985079054,0.5419682743416983
40,reasoning,0.7,cluster_mean_median_wsize,353,0.9971751412429378,0.2719546742209632,0.5949008498583569,0.7393767705382436,1393003.1926345609,20221914.387634393,0.5166064411629466
40,reasoning,0.7,cluster_mean_median_wsqrt,353,0.9971751412429378,0.3059490084985836,0.6005665722379604,0.7620396600566572,1393002.7365439094,20221914.387634285,0.5380114311054571
40,reasoning,0.7,cluster_mean_mode,353,0.9971751412429378,0.32294617563739375,0.5949008498583569,0.7252124645892352,389737.03966005665,7322307.141966393,0.5421269447238881
40,reasoning,0.7,cluster_mean_mode_wsize,353,0.9971751412429378,0.2776203966005666,0.5892351274787535,0.71671388101983,1393006.9036827195,20221914.38776943,0.5150338749610297
40,reasoning,0.7,cluster_mean_mode_wsqrt,353,0.9971751412429378,0.29461756373937675,0.603399433427762,0.7252124645892352,1393006.7563739377,20221914.38776932,0.528122582964444
40,reasoning,0.7,cluster_median_mean,353,0.9971751412429378,0.26062322946175637,0.5212464589235127,0.6685552407932012,9.11866540761725e+26,1.713241686455085e+28,0.4848840490553842
40,reasoning,0.7,cluster_median_mean_wsize,353,0.9971751412429378,0.28328611898017,0.5609065155807366,0.7082152974504249,8.638735649321604e+26,1.6230710713785016e+28,0.5095493922196659
40,reasoning,0.7,cluster_median_mean_wsqrt,353,0.9971751412429378,0.28611898016997167,0.5552407932011332,0.6798866855524079,8.913651424845796e+26,1.6747230561633283e+28,0.505642187307599
40,reasoning,0.7,cluster_median_median,353,0.9971751412429378,0.3342776203966006,0.6175637393767706,0.7762039660056658,194682.5297450425,3657569.6648626295,0.5586428568444655
40,reasoning,0.7,cluster_median_median_wsize,353,0.9971751412429378,0.3342776203966006,0.6175637393767706,0.7705382436260623,389355.4135977337,7315139.3278843155,0.5581414108355637
40,reasoning,0.7,cluster_median_median_wsqrt,353,0.9971751412429378,0.35127478753541075,0.6175637393767706,0.7790368271954674,389355.3059490085,7315139.327883928,0.5670704483652043
40,reasoning,0.7,cluster_median_mode,353,0.9971751412429378,0.3342776203966006,0.6090651558073654,0.7422096317280453,10.008498583569406,94.89312610740707,0.5535504349789793
40,reasoning,0.7,cluster_median_mode_wsize,353,0.9971751412429378,0.34560906515580736,0.6147308781869688,0.7478753541076487,389355.53541076486,7315139.327884257,0.559460053092772
